X,Y,Z,x,y,z,w
1.364221052631579,0.1810810110803324,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3661,0.18026473684210526,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3661,0.18026473684210526,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3642210526315792,0.17944846260387812,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3623421052631581,0.17863218836565098,-0.09536,0.29518,0.79266,0.19416,0.49685
1.360463157894737,0.1778159141274238,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3585842105263157,0.17699963988919667,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3567052631578949,0.17618336565096954,-0.09536000000000001,0.29518,0.79266,0.19416,0.49685
1.3548263157894738,0.17536709141274237,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3529473684210527,0.17455081717451523,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3510684210526316,0.1737345429362881,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3491894736842107,0.17291826869806096,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3473105263157894,0.17210199445983382,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3454315789473685,0.17128572022160665,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3435526315789474,0.1704694459833795,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3416736842105264,0.16965317174515238,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3397947368421053,0.1688368975069252,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3379157894736844,0.16802062326869807,-0.09536,0.29518,0.79266,0.19416,0.49685
1.336036842105263,0.16720434903047093,-0.09536,0.29518,0.79266,0.19416,0.49685
1.334157894736842,0.16638807479224377,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3322789473684211,0.16557180055401666,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3304,0.1647555263157895,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3304,0.1647555263157895,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3322789473684213,0.16393925207756235,-0.09536,0.29518,0.79266,0.19416,0.49685
1.334157894736842,0.1631229778393352,-0.09536,0.29518,0.79266,0.19416,0.49685
1.336036842105263,0.16230670360110805,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3379157894736844,0.16149042936288088,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3397947368421053,0.16067415512465374,-0.09536000000000001,0.29518,0.79266,0.19416,0.49685
1.3416736842105264,0.1598578808864266,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3435526315789472,0.15904160664819944,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3454315789473685,0.1582253324099723,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3473105263157896,0.15740905817174516,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3491894736842105,0.156592783933518,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3510684210526316,0.15577650969529086,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3529473684210527,0.15496023545706372,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3548263157894738,0.15414396121883656,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3567052631578949,0.15332768698060942,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3585842105263157,0.15251141274238225,-0.09536,0.29518,0.79266,0.19416,0.49685
1.360463157894737,0.1516951385041551,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3623421052631581,0.15087886426592798,-0.09536,0.29518,0.79266,0.19416,0.49685
1.364221052631579,0.1500625900277008,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3661,0.14924631578947367,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3661,0.14924631578947367,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3642210526315792,0.14843004155124653,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3623421052631581,0.1476137673130194,-0.09536,0.29518,0.79266,0.19416,0.49685
1.360463157894737,0.14679749307479223,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3585842105263157,0.1459812188365651,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3567052631578949,0.14516494459833795,-0.09536000000000001,0.29518,0.79266,0.19416,0.49685
1.3548263157894738,0.1443486703601108,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3529473684210527,0.14353239612188365,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3510684210526316,0.1427161218836565,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3491894736842107,0.14189984764542934,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3473105263157894,0.14108357340720223,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3454315789473685,0.14026729916897507,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3435526315789474,0.13945102493074793,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3416736842105264,0.1386347506925208,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3397947368421053,0.13781847645429363,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3379157894736844,0.1370022022160665,-0.09536,0.29518,0.79266,0.19416,0.49685
1.336036842105263,0.13618592797783935,-0.09536,0.29518,0.79266,0.19416,0.49685
1.334157894736842,0.1353696537396122,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3322789473684211,0.13455337950138505,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3304,0.1337371052631579,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3304,0.1337371052631579,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3322789473684213,0.13292083102493077,-0.09536,0.29518,0.79266,0.19416,0.49685
1.334157894736842,0.13210455678670363,-0.09536,0.29518,0.79266,0.19416,0.49685
1.336036842105263,0.13128828254847646,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3379157894736844,0.13047200831024933,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3397947368421053,0.1296557340720222,-0.09536000000000001,0.29518,0.79266,0.19416,0.49685
1.3416736842105264,0.12883945983379502,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3435526315789472,0.12802318559556786,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3454315789473685,0.12720691135734075,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3473105263157896,0.12639063711911358,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3491894736842105,0.12557436288088644,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3510684210526316,0.12475808864265929,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3529473684210527,0.12394181440443215,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3548263157894738,0.123125540166205,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3567052631578949,0.12230926592797786,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3585842105263157,0.1214929916897507,-0.09536,0.29518,0.79266,0.19416,0.49685
1.360463157894737,0.12067671745152356,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3623421052631581,0.1198604432132964,-0.09536,0.29518,0.79266,0.19416,0.49685
1.364221052631579,0.11904416897506927,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3661,0.11822789473684212,-0.09536,0.29518,0.79266,0.19416,0.49685
1.3661,0.11822789473684212,-0.09536,0.29518,0.79266,0.19416,0.49685
